env,gid,value
1_PI_LN,L042xL007B,3.1576226813649515
1_PI_LN,L042xL043,2.402126480873287
1_PI_LN,L042xL045,2.722292409317075
1_PI_LN,L042xL046,2.132655972009893
1_PI_LN,L042xL047,4.249879673186459
1_PI_LN,L042xL049,7.777400199186459
1_PI_LN,L043xL007B,3.281622015251647
1_PI_LN,L043xL014B,4.1214774736616935
1_PI_LN,L043xL014C,3.1933932811771304
1_PI_LN,L043xL044,4.313139923364952
1_PI_LN,L043xL048,5.469687654661694
1_PI_LN,L043xL049,5.324822202186459
1_PI_LN,L043xL054,2.6053939647856517
1_PI_LN,L043xL055,3.9014613615658638
1_PI_LN,L043xL056,5.483842005661694
1_PI_LN,L043xL058,5.162922465661694
1_PI_LN,L044xL007B,3.5934753831771302
1_PI_LN,L044xL014C,4.203773083251647
1_PI_LN,L044xL025,2.6970413728312206
1_PI_LN,L044xL045,2.384310302611352
1_PI_LN,L044xL046,4.244555755423185
1_PI_LN,L044xL047,4.383705617186459
1_PI_LN,L044xL048,4.084935093654147
1_PI_LN,L044xL049,1.156341098391723
1_PI_LN,L044xL055,5.031503238654148
1_PI_LN,L044xL056,4.197332466654148
1_PI_LN,L044xL058,4.9548140053917225
1_PI_LN,L045xL007B,4.4939679941771304
1_PI_LN,L045xL014B,4.497315413435102
1_PI_LN,L045xL046,5.180300045847761
1_PI_LN,L045xL047,4.77532467684776
1_PI_LN,L045xL048,2.743134691037186
1_PI_LN,L045xL049,5.077830560392673
1_PI_LN,L045xL054,4.020572760392673
1_PI_LN,L045xL055,4.901411811325492
1_PI_LN,L045xL056,4.29739364184776
1_PI_LN,L046xL007B,5.145938472897141
1_PI_LN,L046xL014C,2.1454543993917232
1_PI_LN,L046xL047,1.679860500661694
1_PI_LN,L046xL048,1.5655658769037344
1_PI_LN,L046xL054,3.3918842150098936
1_PI_LN,L046xL055,3.769013885205168
1_PI_LN,L046xL058,2.8510144622516473
1_PI_LN,L047xL007B,3.9834807586616936
1_PI_LN,L047xL014C,2.8168272702516473
1_PI_LN,L047xL049,2.8931990078312206
1_PI_LN,L047xL055,4.129140407177131
1_PI_LN,L048xL007B,5.28969870017713
1_PI_LN,L048xL014C,1.970790142788268
1_PI_LN,L048xL056,4.533625314099095
1_PI_LN,L048xL058,3.798980537785832
1_PI_LN,L049xL014B,4.119665151317075
1_PI_LN,L049xL054,4.019605018205168
1_PI_LN,L054xL007B,4.35100085726482
1_PI_LN,L054xL055,2.6568736903170747
1_PI_LN,L055xL007B,4.512795615897141
1_PI_LN,L055xL014C,2.035795494205168
1_PI_LN,L055xL056,5.7934910953170755
1_PI_LN,L055xL058,2.7484175753978723
1_PI_LN,L056xL007B,5.518746354897141
1_PI_LN,L056xL047,3.800452151161843
1_PI_LN,L058xL007B,3.471902367521483
1_PI_LN,L058xL014C,3.588518567251647
1_PI_IN,L001xL002,5.112767240383975
1_PI_IN,L001xL003,3.8282373023083824
1_PI_IN,L001xL005,4.942027930792067
1_PI_IN,L001xL014C,6.089419568308383
1_PI_IN,L001xL023,5.778335824308383
1_PI_IN,L001xL034,7.416069814308383
1_PI_IN,L001xL038,6.160798878308382
1_PI_IN,L001xL039,6.232497689698444
1_PI_IN,L001xL046,7.644247154308383
1_PI_IN,L001xL056,8.162194609308383
1_PI_IN,L002xL003,3.052596211698444
1_PI_IN,L002xL008,6.969879355152512
1_PI_IN,L002xL010,3.4935842537831254
1_PI_IN,L002xL014,5.913427638838802
1_PI_IN,L002xL014C,1.1565764071475515
1_PI_IN,L002xL015,3.9664940599540133
1_PI_IN,L002xL016,4.62267372223584
1_PI_IN,L002xL017,5.497926817838802
1_PI_IN,L002xL019,7.189532072147552
1_PI_IN,L002xL022,4.568134253714552
1_PI_IN,L002xL023,3.9832189289914224
1_PI_IN,L002xL029,4.158382400954014
1_PI_IN,L002xL031,5.507087059480785
1_PI_IN,L002xL034,5.478990649120528
1_PI_IN,L002xL038,5.467701686991423
1_PI_IN,L002xL041,5.604967175792067
1_PI_IN,L002xL045,7.587823393420034
1_PI_IN,L002xL056,4.371197077596362
1_PI_IN,L003xL005,5.211972365966934
1_PI_IN,L003xL006,4.58592495423584
1_PI_IN,L003xL007,6.487831950872516
1_PI_IN,L003xL008,4.595639020288072
1_PI_IN,L003xL010,3.1295776857831252
1_PI_IN,L003xL011,4.800648916693919
1_PI_IN,L003xL013,5.481910598241922
1_PI_IN,L003xL014B,3.95996657703023
1_PI_IN,L003xL015,2.6297952471205277
1_PI_IN,L003xL023,3.339884496872515
1_PI_IN,L003xL026,2.5637028077920676
1_PI_IN,L003xL028,3.288924482792068
1_PI_IN,L003xL029,3.96358385317709
1_PI_IN,L003xL031,4.687109633125292
1_PI_IN,L003xL034,6.6706491051205274
1_PI_IN,L003xL039,5.013441739480784
1_PI_IN,L003xL041,4.830637196807085
1_PI_IN,L003xL042,4.976249620480785
1_PI_IN,L003xL043,4.925872989286544
1_PI_IN,L003xL044,3.0227612607174983
1_PI_IN,L003xL045,4.167497500240843
1_PI_IN,L003xL047,2.033187344698444
1_PI_IN,L003xL048,2.705181033383975
